"genero","faixa_idade","raca","dificulta","confianca_falar","o_que_e_politica","vontade_participar","diminui_medo","criado_em"
"homem cis","16–17","preta","me falta tempo pra participar","igual a antes","votar nas eleições; cobrar o vereador ou a prefeitura por uma melhoria; reclamar de buraco na rua ou falta de iluminação; participar de um mutirão ou ação no bairro; organizar um evento ou coletivo com a galera; discutir os problemas da escola e propor mudanças; falar dos problemas da cidade com amigos e família","sim, fiquei com muito mais vontade","diminui muito","2026-06-26T18:56:29.984773+00:00"
"mulher cis","16–17","branca","me falta tempo pra participar","igual a antes","votar nas eleições","igual a antes","diminui um pouco","2026-06-26T18:56:42.921892+00:00"
"mulher cis","14–15","parda","me falta tempo pra participar; desanimo porque as pessoas não conseguem mais conversar com opinião diferente","um pouco mais confiante","votar nas eleições; cobrar o vereador ou a prefeitura por uma melhoria; reclamar de buraco na rua ou falta de iluminação; participar de um mutirão ou ação no bairro; organizar um evento ou coletivo com a galera; discutir os problemas da escola e propor mudanças; falar dos problemas da cidade com amigos e família","um pouco mais de vontade","diminui","2026-06-26T18:56:47.948061+00:00"
"mulher cis","16–17","branca","tenho dificuldade de falar minha opinião nesses espaços","bem mais confiante que antes","cobrar o vereador ou a prefeitura por uma melhoria; votar nas eleições; reclamar de buraco na rua ou falta de iluminação; participar de um mutirão ou ação no bairro; organizar um evento ou coletivo com a galera; discutir os problemas da escola e propor mudanças; falar dos problemas da cidade com amigos e família","sim, fiquei com muito mais vontade","diminui","2026-06-26T18:57:32.413629+00:00"
"mulher cis","16–17","parda","me falta informação de como participar; acho a linguagem desses espaços difícil; tenho dificuldade de falar minha opinião nesses espaços","um pouco mais confiante","votar nas eleições; cobrar o vereador ou a prefeitura por uma melhoria; reclamar de buraco na rua ou falta de iluminação; participar de um mutirão ou ação no bairro; organizar um evento ou coletivo com a galera; discutir os problemas da escola e propor mudanças; falar dos problemas da cidade com amigos e família","um pouco mais de vontade","diminui um pouco","2026-06-26T18:57:42.945951+00:00"
"mulher cis","16–17","branca","me falta informação de como participar; desanimo por causa da corrupção","igual a antes","votar nas eleições; cobrar o vereador ou a prefeitura por uma melhoria; participar de um mutirão ou ação no bairro; organizar um evento ou coletivo com a galera","igual a antes","diminui","2026-06-26T18:57:45.681959+00:00"
"mulher cis","16–17","parda","me falta tempo pra participar; acho a linguagem desses espaços difícil","um pouco mais confiante","participar de um mutirão ou ação no bairro; discutir os problemas da escola e propor mudanças; falar dos problemas da cidade com amigos e família; organizar um evento ou coletivo com a galera","um pouco mais de vontade","diminui","2026-06-26T18:57:50.278671+00:00"
"mulher cis","16–17","branca","me falta informação de como participar; tenho dificuldade de falar minha opinião nesses espaços; desanimo porque as pessoas não conseguem mais conversar com opinião diferente","um pouco mais confiante","cobrar o vereador ou a prefeitura por uma melhoria; votar nas eleições; participar de um mutirão ou ação no bairro; reclamar de buraco na rua ou falta de iluminação","um pouco mais de vontade","diminui","2026-06-26T18:57:51.924714+00:00"
"mulher cis","16–17","parda","não acredito na política","igual a antes","votar nas eleições; cobrar o vereador ou a prefeitura por uma melhoria; participar de um mutirão ou ação no bairro; organizar um evento ou coletivo com a galera","igual a antes","não diminui","2026-06-26T18:57:58.536625+00:00"
"homem cis","14–15","branca","desanimo por causa da corrupção; não acredito na política; desanimo porque as pessoas não conseguem mais conversar com opinião diferente","bem menos confiante","cobrar o vereador ou a prefeitura por uma melhoria","igual a antes","não diminui","2026-06-26T18:58:06.21152+00:00"
